category_id,category_name,parent_id,parent_name,root_id,root_name,path
18,National Income & Product Accounts,32992,National Accounts,32992,National Accounts,National Accounts > National Income & Product Accounts
112,Domestic Capital Account (Saving & Investment),18,National Income & Product Accounts,32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment)
33042,Capital Transfers Paid,112,Domestic Capital Account (Saving & Investment),32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment) > Capital Transfers Paid
33043,Capital Transfers Received,112,Domestic Capital Account (Saving & Investment),32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment) > Capital Transfers Received
33040,Consumptions of Fixed Capital,112,Domestic Capital Account (Saving & Investment),32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment) > Consumptions of Fixed Capital
33041,Corporate Capital Consumption,112,Domestic Capital Account (Saving & Investment),32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment) > Corporate Capital Consumption
33037,Domestic Investments,112,Domestic Capital Account (Saving & Investment),32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment) > Domestic Investments
33038,Inventories,112,Domestic Capital Account (Saving & Investment),32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment) > Inventories
33044,Noncorporate Business,112,Domestic Capital Account (Saving & Investment),32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment) > Noncorporate Business
33039,Private Fixed Investments,112,Domestic Capital Account (Saving & Investment),32992,National Accounts,National Accounts > National Income & Product Accounts > Domestic Capital Account (Saving & Investment) > Private Fixed Investments
108,Foreign Transactions,18,National Income & Product Accounts,32992,National Accounts,National Accounts > National Income & Product Accounts > Foreign Transactions
33018,Exports,108,Foreign Transactions,32992,National Accounts,National Accounts > National Income & Product Accounts > Foreign Transactions > Exports
